TID: [-1234] [2025-05-19 09:10:04,789] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=vncntts3_pcnsh Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"meeting-quanlyhop","Claims":{"http://wso2.org/claims/fullname":"Phòng CNSH và Vắc xin thủy sản_vncntts3","http://wso2.org/claims/monreId":"vncntts3_pcnsh","http://wso2.org/claims/emailaddress":"vncntts3_pcnsh@mae.gov.vn","http://wso2.org/claims/lastname":"Phòng","http://wso2.org/claims/givenname":"CNSH và Vắc xin thủy sản_vncntts3"}} Outcome=Success
TID: [-1234] [2025-05-19 09:10:04,797] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=vncntts3_pcnsh Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"meeting-quanlyhop","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2025-05-19 09:10:04,798] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator : vncntts3_pcnsh | Action : LoginStepSuccess | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "afbbbb77-d3d4-4a04-8956-d246b786a68d","AuthenticatedUser" : "vncntts3_pcnsh","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "meeting-quanlyhop","RequestType" : "oidc","RelyingParty" : "zrAi9HWLePnyM9AdScsJ3AxxcJsa","AuthenticatedIdP" : "LOCAL","User Agent" : "null","RemoteAddress" : "10.151.131.171","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-05-19 09:10:04,798] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator : vncntts3_pcnsh@carbon.super | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:LDAP_AUTHENTICATOR } | Result : Success 
TID: [-1234] [2025-05-19 09:10:04,822] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=vncntts3_pcnsh Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"meeting-quanlyhop","Claims":{"http://wso2.org/claims/username":"vncntts3_pcnsh","http://wso2.org/claims/userid":"ea9258d5-d53d-4303-bcc4-353e579a8f57","http://wso2.org/claims/created":"2025-05-12T03:04:51.309763Z","http://wso2.org/claims/fullname":"Phòng CNSH và Vắc xin thủy sản_vncntts3","http://wso2.org/claims/modified":"2025-05-12T03:04:51.309763Z","http://wso2.org/claims/monreId":"vncntts3_pcnsh","http://wso2.org/claims/emailaddress":"vncntts3_pcnsh@mae.gov.vn","http://wso2.org/claims/roles":"Internal/everyone","http://wso2.org/claims/lastname":"Phòng","http://wso2.org/claims/givenname":"CNSH và Vắc xin thủy sản_vncntts3","http://wso2.org/claims/resourceType":"User","http://wso2.org/claims/userprincipal":"vncntts3_pcnsh"}} Outcome=Success
TID: [-1234] [2025-05-19 09:10:04,823] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Value Target=vncntts3_pcnsh Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"meeting-quanlyhop","Claim Value":["vncntts3_pcnsh"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-05-19 09:10:04,826] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator : vncntts3_pcnsh | Action : StoreSession | Data : { {"traceId":"08ee9920-e903-4248-8c17-579e83ad427a","RememberMe":false,"sessionContextId":"04811390d28651aad0c770af7ca8a39ce94f0baf8d554a6362516216b80c3cc7","AuthenticatedUserTenantDomain":"carbon.super","AuthenticatedUser":"vncntts3_pcnsh","LastAccessedTimestamp":1747620604824} } | Result : Success 
TID: [-1234] [2025-05-19 09:10:04,833] [08ee9920-e903-4248-8c17-579e83ad427a]  INFO {AUDIT_LOG} - Initiator : vncntts3_pcnsh | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "afbbbb77-d3d4-4a04-8956-d246b786a68d","AuthenticatedUser" : "vncntts3_pcnsh","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "meeting-quanlyhop","RequestType" : "oidc","RelyingParty" : "zrAi9HWLePnyM9AdScsJ3AxxcJsa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNzQ3NjIwNjA3ODE5LCJpYXQiOjE3NDc2MjA2MDQ4MTksImlkcHMiOlt7ImlkcCI6IkxPQ0FMIiwiYXV0aGVudGljYXRvciI6IkxEQVBfQVVUSEVOVElDQVRPUiJ9XX0.Wy6I8dUow89d2UNsbFdUf3OTn9His1_qDtmTt54EJsA","User Agent" : "null","RemoteAddress" : "10.151.131.171","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-05-19 09:10:04,889] [2fc5f726-a3ca-4367-b915-0e75039fe7cf]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-Roles-of-User Target=vncntts3_pcnsh Data={"RemoteAddress":"10.151.131.171","Filter":"*","Roles":["Internal/everyone"]} Outcome=Success
TID: [-1234] [2025-05-19 09:21:03,973] [c7704970-546c-41c5-90a8-e9e19cbbba19]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_CDS_TNMT","Claim Value":"001122","Users":["001122"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-05-19 09:21:03,980] [c7704970-546c-41c5-90a8-e9e19cbbba19]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=001122 Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_CDS_TNMT","Claims":{},"Profile":"default"} Outcome=Success
